dummy,size,price
1,1508.84,500681.128
1,1842.51,494778.992
1,1275.46,458674.256
1,1496.36,454512.76
1,1300.96,444192.008
1,1379.72,440201.616
1,1009.25,418753.008
1,1334.1,414682.648
1,1207.45,412569.472
1,1122.34,408637.816
1,1334.1,406852.304
1,1504.75,401255.608
1,1283.85,395242.096
1,1021.95,393069.76
1,1504.75,383635.568
1,1183.46,382120.152
1,1009.25,376253.808
1,1496.36,368988.432
1,1334.1,365863.936
1,1103.3,362519.72
1,1205.62,359674.44
1,1009.25,355251.2
1,1236.93,354512.112
1,1188.62,342988.456
1,1071.55,338078.168
1,1021.95,334938.872
1,682.26,331101.344
1,827.84,330677.128
1,1028.41,327252.112
1,1032.06,320345.52
1,1037.44,310522.592
1,1021.95,310045.712
1,827.09,304587.272
1,685.48,303597.216
1,685.48,302393.384
1,622.97,302000.92
1,1010.33,301635.728
1,698.29,300061.48
1,1027.76,299416.976
1,656.22,298926.496
1,694.52,298170.88
1,681.07,297760.44
1,685.48,294582.944
1,1060.36,293044.496
1,685.48,292965.216
1,823.21,287350
1,685.48,286161.6
1,857.54,285223.176
1,643.09,282683.544
1,487.29,281626.336
1,1060.36,279555.096
1,1021.95,276875.632
1,705.29,274922.856
1,570.89,271793.312
1,549.8,271726.752
1,727.88,269523.056
1,823.21,269225.92
1,620.71,268125.08
1,698.29,266684.248
1,570.89,265129.064
1,698.5,263311.696
1,698.29,262477.856
1,617.05,262423.504
1,1021.95,258637.008
1,633.19,257828.416
1,647.5,255629.16
1,549.8,252460.4
1,682.26,251560.04
1,569.17,251332.592
1,828.16,251188.824
1,694.52,251140.656
1,690.54,248337.6
1,698.29,245747.2
1,575.19,245050.28
1,643.09,234314.144
1,623.94,234178.16
1,570.25,233493.208
1,656.22,228581.528
1,685.48,228313.024
1,647.5,225656.12
1,681.07,225452.32
1,681.07,225451.984
1,648.29,225145.248
1,694.52,218630.608
1,682.26,217468.224
1,694.52,215472.104
1,601.66,211904.536
1,549.8,211724.096
1,597.9,207742.248
1,633.19,204302.976
1,698.29,201778.048
1,525.81,191486.896
1,681.07,190909.056
1,518.38,183459.488
1,643.41,181587.576
1,681.07,180307.216
1,620.82,175716.48
1,549.69,171795.24
1,525.81,168047.264
1,479.75,154282.128
